gati_id,sku,variant_id,product_title,product_status,gross_weight_g,diamond_cost,making_cost,admin_url
"NK00026","NK00026|P|14|VVSVS-EFG|H|16|6.00|NA","48093801480449","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801480449"
"NK00026","NK00026|P|14|VVSVS-EFG|H|14|6.00|NA","48093801513217","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801513217"
"NK00026","NK00026|P|14|VVSVS-EFG|H|15|6.00|NA","48093801545985","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801545985"
"NK00026","NK00026|P|14|VVSVS-EFG|H|17|6.00|NA","48093801578753","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801578753"
"NK00026","NK00026|P|14|VVSVS-EFG|H|26|6.00|NA","48093801611521","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801611521"
"NK00026","NK00026|W|14|VVSVS-EFG|H|16|6.00|NA","48093801644289","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801644289"
"NK00026","NK00026|W|14|VVSVS-EFG|H|14|6.00|NA","48093801677057","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801677057"
"NK00026","NK00026|W|14|VVSVS-EFG|H|15|6.00|NA","48093801709825","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801709825"
"NK00026","NK00026|W|14|VVSVS-EFG|H|17|6.00|NA","48093801742593","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801742593"
"NK00026","NK00026|W|14|VVSVS-EFG|H|26|6.00|NA","48093801775361","Radiance Emerald Cut Diamond Tennis Necklace","ACTIVE","0","240000","0","https://admin.shopify.com/store/auracarat/products/9035724226817/variants/48093801775361"
